data_id,period,event_type_code,event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities
CON1365879,2018 January,6,Remote violence,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Nangarhar,Jalalabad,0,Jalalabad,34.4265,70.4515,3,BBC Monitoring; Voice of Jihad,Other-national,"Taliban attacked a military convoy with mine explosions in the Khormai area of Nangarhar Province, on January 1, 2018. 5 Afghan soldiers were killed.",5
CON1365881,2018 January,6,Remote violence,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Ghazni,Qarabagh,0,Sherabad,33.2523,68.0292,1,BBC Monitoring; Voice of Jihad,Other-national,"A Taliban-planted mine exploded on a military vehicle in the Sherabad area of Qarabagh District, Ghazni Province, on January 1, 2018. 5 Afghan soldiers were killed.",5
CON1979578,2018 January,6,Remote violence,NATO: North Atlantic Treaty Organization,Military Forces of United States,Islamic State (Afghanistan),0,2,28,Southern Asia,Afghanistan,Nangarhar,Achin,0,Sra Kala,34.1258,70.7133,2,Khaama Press,Subnational,"US NATO airstrikes killed 2 IS militants in Achin District, Nangarhar Province, on January 1, 2018.",2
CON1365896,2018 January,6,Remote violence,Taliban,0,Militia (Pro-Government),0,3,23,Southern Asia,Afghanistan,Logar,Mohammad Agha,0,Mohammad Agha,34.2118,69.0999,2,BBC Monitoring; Radio Bost,Subnational-national,"5 pro-government militiamen (arbakis) were killed in a mine explosion claimed by the Taliban in Mohammad Agha District, Logar Province, as reported on January 1, 2018.",5
CON1979579,2018 January,6,Remote violence,Afghan and/or NATO Forces,0,Taliban,0,2,12,Southern Asia,Afghanistan,Laghman,Alishing,0,Alishing,34.7038,70.1537,2,Bakhtar News Agency,National,"9 Taliban militants, including 2 Pakistani nationals, were killed in an air strike by Afghan and/or NATO forces in Alishing District, Laghman Province, on the night of January 1, 2018.",9
CON1979580,2018 January,6,Remote violence,NATO: North Atlantic Treaty Organization,0,Taliban,0,2,28,Southern Asia,Afghanistan,Urozgan,Tarinkot,0,Tarinkot,32.6268,65.8733,1,BBC Monitoring; Paiwastoon Ghag,Subnational-national,"NATO airstrikes killed 4 Taliban militants in Tarinkot city on the night of January 1, 2018.",4
CON1979581,2018 January,6,Remote violence,NATO: North Atlantic Treaty Organization,Military Forces of United States,Taliban,0,2,28,Southern Asia,Afghanistan,Nangarhar,Bati Kot,0,Ambarkhanah,34.3049,70.7892,1,Khaama Press,Subnational,"US NATO airstrikes killed 5 Taliban militants in the Ambarkhanah area of Bati Kot District, Nangarhar Province, on January 1, 2018. Some weapons and ammunitions were also destroyed.",5
CON1365878,2018 January,6,Remote violence,Military Forces of Afghanistan (2004-),NATO: North Atlantic Treaty Organization,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Dih Bala,0,Dih Bala,34.0923,70.469,2,BBC Monitoring; Afghan Islamic Press; Anadolu Agency; Associated Press; Khaama Press; Pajhwok Afghan News; TOLONews,Subnational-regional,"60-65 IS militants were killed (7 coded in previous events; remaining + 1 civilian death coded across 3 events) and 18 others wounded in air and ground operations by joint Afghan and NATO forces in the Gurguray, Shinkai, and Angur areas of Dih Bala District, Nangarhar Province, on January 1, 2018. It was also reported that 1 to dozens of civilians were killed and 10-15 others wounded in the fighting between Afghan forces and IS fighters in Nangarhar; residents reported bombing in the Lwara Mina and Shabay [Tangi] areas.",18
CON1365880,2018 January,6,Remote violence,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Khost,Khost,0,Khost,33.3395,69.9204,1,BBC Monitoring; Voice of Jihad,Other-national,"A Taliban-planted mine exploded on military forces in the Mata Chino area of Khost City on Janaury 1, 2018. 2 soldiers, including a commander, were killed and 3 others injured.",2
CON1365886,2018 January,6,Remote violence,Military Forces of Afghanistan (2004-),NATO: North Atlantic Treaty Organization,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Dih Bala,0,Gurguray,34.1038,70.4038,1,BBC Monitoring; Afghan Islamic Press; Anadolu Agency; Associated Press; Khaama Press; Pajhwok Afghan News; TOLONews,Subnational-regional,"60-65 IS militants were killed (7 coded in previous events; remaining + 1 civilian death coded across 3 events) and 18 others wounded in air and ground operations by joint Afghan and NATO forces in the Gurguray, Shinkai, and Angur areas of Dih Bala District, Nangarhar Province, on January 1, 2018. It was also reported that 1 to dozens of civilians were killed and 10-15 others wounded in the fighting between Afghan forces and IS fighters in Nangarhar; residents reported bombing in the Lwara Mina and Shabay [Tangi] areas.",18
